No.,Word,Meaning 
,CLOTHING,
,don,〔服・帽子などを〕着用する、身に着ける ex.) He donned a hat while talking on the cell-phone.
,pull on,"衣類を急いで〕着る、身に着ける
〔ロープなどを〕引き［たぐり］寄せる ex.) pull on a glove, "
,brush off ,"〔ブラシで〕払いのける、払い落とす、取れる
〔人の言葉などを〕はねのける、はねつける、拒絶する"
,drape sth over/across/on ~,To put sth such as cloth loosely over sth ex.)I drape a blanket over her shoulders. 
,freecycle,free + recycle. give it to someone for free
,retail therapy,買い物してストレス発散すること
,Serial returner,people who return lints of items they bought - usually online
,silhouette ,シルエット
,buyer’s remorse,"a particular kind of regret that people can feel after a big purchase like a house or a car. 
They feel they've made a bad decision."
,toggle ,トグル、留木、ダッフルコートのボタン
,mitten,手袋
,insulation ,"Material that is used to stop heat,sound, or electricity from escaping or entering "
,pesticide ,殺虫剤
,bleach ,漂白剤
,detergent ,洗剤、合成洗剤
,chic,服装などが〕しゃれた、あか抜けした、粋な、シックな、上品な
,thriftiness ,倹約、質素
,fashion statement,ファッション哲学 make a fashion statement ファッションで自己主張する
,swanky,stylishly luxurious and expensive
,fashion-conscious,"流行に敏感な、流行を気にする、おしゃれに関心のある ex.) the fashion conscious young, "
,in fashion,流行して、ex.)  back in fashion 流行が戻る
,all the rage ,一時的な〕はやり、流行、熱狂 ex.) This game is all the rage. 
,Food,
,brim,〔液体を〕あふれるほどつぐ、いっぱいに入れる ex.) I fill the cup with the brim with water.
,consume foods,"formal way of saying ""eat foods"""
,have a go at ,"1. 試しにやってみる 2. criticise someone 
ex.) I'll have a go at cooking . / The boss had a go at her. "
,get down ,To swallow 
,finish up ,"最後の仕上げをする、完成する
・I finished up some chores around the house by 10. : 10時までに家の周りの雑用を終えた。
〔消耗品などを〕使い切る、使い果たす
〔飲食物を〕平らげる"
,hoard,"貯蔵する、ため込む、事実などを〕胸に秘める(N.)金・財宝・食糧などの〕貯蔵、買いだめ〔知識などの〕蓄積、宝庫　
ex.) hoard money for my own sake. hoard his possession. hoard cash rather than invest it."
,genetic modification,遺伝子組み換え
,evaporation,"
蒸発、消滅、消散"
,intake,エネルギーなどの〕吸入量、摂取量 2.入場者（数）、採用者（数）
,nutrient,栄養物、栄養になる食物、栄養素
,Acquired taste,慣れ親しんだ味
,fluffy,"けばの、綿毛の［に覆われた］〔軽くて柔らかで〕フワフワした、フワッとした
ex.)fluffy baby skin, fluffy cake"
,stimulating ,"刺激する、刺激的な         2. 〔運動・飲料などが体に〕良い刺激になる、元気を出させる、覚醒作用のある
ex.9stimulating aura/ analysis / beverage "
,freshener ,"気分を爽やかにしてくれるもの［こと］         
2.        清涼飲料水 "
,outer suburb,
,spike ~ with -,~に…をこっそり混ぜる ex.)She spiked water with vodka
,surfeit,"V.)〔人に〕過度に食べさせる［飲ませる］、〔～に〕飽き飽きさせる N.) 
過度、過多、過剰 ex.) surfeit of information/ advice. to surfeit (うんざりする程に)
食べ過ぎ、飲み過ぎ"
,potassium,カリウム
,gourmet,グルメ、食通
,lycopene,リコピン
,food additives,the chemicals added to food 
,cut up ,I cut the stake up. 
,mash up ,mash up potato 
,chop up,細かく切る ex.)she chops up garlic into small pieces
,slice up ,Slice up onion. 
,tear up ,ちぎる
,take a pull on ,を一口飲む I took a pull on my beer.
,rinse,"〔水などに浸して〕～をすすぐ［ゆすぐ・洗う］〔口を〕すすぐ、ゆすぐ 
ex.)I rinsed a plate well under running water. I rinsed blood off my hands."
